Reading data
Parsing data
Sorting data
DONE
epoch 0 avg test error: 0.13648325
epoch 1 0.000%, output: 0.510, train error: 0.13091776
epoch 1 0.022%, output: 0.575, train error: 0.065133356
epoch 1 0.044%, output: 0.617, train error: 0.0115164975
epoch 1 0.066%, output: 0.633, train error: 0.07850369
epoch 1 0.088%, output: 0.674, train error: 0.06615019
epoch 1 0.110%, output: 0.707, train error: 0.012327591
epoch 1 0.132%, output: 0.693, train error: 0.043990634
epoch 1 0.155%, output: 0.719, train error: 0.02198838
epoch 1 0.177%, output: 0.734, train error: 0.051977605
epoch 1 0.199%, output: 0.758, train error: 0.0140777705
epoch 1 0.221%, output: 0.748, train error: 0.035530966
epoch 1 0.243%, output: 0.767, train error: 0.027940266
epoch 1 0.265%, output: 0.781, train error: 0.03793423
epoch 1 0.287%, output: 0.794, train error: 0.0020596362
epoch 1 0.309%, output: 0.791, train error: 0.000823351
epoch 1 0.331%, output: 0.793, train error: 0.037577886
epoch 1 0.353%, output: 0.806, train error: 0.016580222
epoch 1 0.375%, output: 0.815, train error: 0.029038647
epoch 1 0.397%, output: 0.824, train error: 0.0073522213
epoch 1 0.420%, output: 0.831, train error: 0.0035304448
epoch 1 0.442%, output: 0.835, train error: 0.010844155
epoch 1 0.464%, output: 0.841, train error: 0.023277372
epoch 1 0.486%, output: 0.833, train error: 0.003461701
epoch 1 0.508%, output: 0.833, train error: 0.009163801
epoch 1 0.530%, output: 0.839, train error: 0.0023808575
epoch 1 0.552%, output: 0.842, train error: 0.00021015212
epoch 1 0.574%, output: 0.843, train error: 0.008744884
epoch 1 0.596%, output: 0.836, train error: 0.0007055322
epoch 1 0.618%, output: 0.836, train error: 0.0016439926
epoch 1 0.640%, output: 0.839, train error: 0.016375156
epoch 1 0.662%, output: 0.843, train error: 0.049483135
epoch 1 0.684%, output: 0.834, train error: 0.015648523
epoch 1 0.707%, output: 0.840, train error: 0.0056385067
epoch 1 0.729%, output: 0.846, train error: 0.001745314
epoch 1 0.751%, output: 0.845, train error: 0.0043961136
epoch 1 0.773%, output: 0.849, train error: 0.008274236
epoch 1 0.795%, output: 0.850, train error: 0.00028196923
epoch 1 0.817%, output: 0.852, train error: 0.008652569
epoch 1 0.839%, output: 0.857, train error: 0.0021022917
epoch 1 0.861%, output: 0.859, train error: 0.004104123
epoch 1 0.883%, output: 0.862, train error: 0.009143305
epoch 1 0.905%, output: 0.866, train error: 0.0031751806
epoch 1 0.927%, output: 0.868, train error: 0.0032248192
epoch 1 0.949%, output: 0.869, train error: 0.04780956
epoch 1 0.972%, output: 0.864, train error: 0.00040770593
epoch 1 0.994%, output: 0.862, train error: 0.00061333546
epoch 1 1.016%, output: 0.865, train error: 0.004009805
epoch 1 1.038%, output: 0.866, train error: 0.00020183901
